Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
2,1,33,0,3,57.94401004455455,0,1
3,1,23,0,1,86.76004169961972,1,0
3,0,10,4,1,55.83162329869757,0,1
1,1,69,3,2,22.52397278479133,2,0
3,1,34,4,2,33.46161161781532,0,1
1,0,52,3,4,34.444007995518035,2,0
3,0,10,4,4,42.7452209684718,1,1
2,1,19,4,0,45.544946006991196,2,0
3,1,58,2,0,80.97929209705559,2,1
1,1,1,4,4,38.19176490968664,0,0
1,1,69,1,4,49.482023701931034,0,0
2,1,4,2,3,64.37271876984997,2,0
3,1,16,4,2,40.883965006816084,0,0
3,0,24,0,0,84.47365726277162,1,1
2,1,2,1,2,60.808092402237065,1,1
3,1,32,1,2,32.9342445259923,0,0
3,0,24,1,4,72.83562398003369,1,1
1,0,12,2,3,55.12653436375465,0,0
3,0,50,4,1,55.773309669438454,2,0
3,0,35,4,3,50.703355096820665,2,1
2,1,33,0,3,52.21613513801866,1,0
2,1,33,0,2,77.70884670129286,0,0
1,1,61,1,3,14.783240536474974,0,1
3,1,51,0,0,36.764467074495805,1,0
3,1,43,2,2,12.172819561369476,2,0
3,1,12,4,0,76.55839097100782,1,0
1,0,67,1,1,30.868676198428446,2,0
1,1,65,0,2,90.25588893279401,0,1
2,0,33,2,1,55.02495433263291,2,1
1,0,40,2,2,81.0712282911815,1,1
3,1,74,0,4,97.99848638351631,0,0
3,0,43,4,3,84.7799416483742,1,0
1,1,44,0,4,87.36440720109474,1,1
3,0,29,1,1,43.758527059660246,2,0
3,1,13,0,3,57.41364654963728,1,0
1,0,12,2,2,29.119413584113907,2,0
1,1,46,0,3,23.630744470878017,0,0
3,1,2,4,0,53.02324851507321,2,1
3,1,35,3,3,61.529653071539954,0,1
3,1,8,0,0,37.23076836013814,2,1
2,1,26,4,3,59.09713418753253,1,0
2,0,74,4,0,89.30874583878278,2,1
2,0,34,2,1,57.88855055441978,2,1
1,0,7,4,4,73.47724414949813,0,0
2,1,68,4,2,81.50492189900098,1,0
1,0,58,4,3,98.92923428576707,2,1
1,1,75,4,4,62.30375320681306,1,1
2,1,29,1,2,81.65076415144567,2,1
2,0,36,1,2,96.4516852627131,2,1
2,0,21,2,0,94.71892392984097,1,0
3,1,36,0,1,18.40277563388279,2,1
2,0,10,4,1,43.60726928598459,1,1
3,1,73,0,4,35.779055805145966,2,0
1,1,24,0,1,13.257876420283186,0,1
3,1,64,2,3,65.15787361654125,1,0
2,1,49,4,1,74.91093825362022,2,0
1,1,36,4,4,85.57216906935393,2,0
1,0,24,3,1,16.663804517957306,0,1
1,0,23,0,3,88.26218720815291,1,1
3,1,62,0,0,66.07792854335406,2,0
2,1,37,1,4,71.8748828381584,0,1
1,0,12,3,0,91.50928033632887,2,1
1,0,55,1,0,64.35232074910886,1,0
1,1,13,1,0,36.90725642923433,2,0
3,0,23,1,2,83.38519648515268,2,1
3,1,30,2,2,39.4906251585336,2,0
2,0,17,2,0,8.251670527950267,2,1
3,1,62,1,4,83.91217812369872,0,1
1,0,13,3,3,37.79325376372118,0,1
2,1,59,0,3,78.51427970412733,1,1
1,0,19,3,1,39.46199999326482,0,0
1,0,49,4,4,86.80146189759856,0,0
3,1,12,2,2,25.853499882691075,1,0
2,0,61,0,0,97.58199019389264,0,0
3,1,19,0,1,79.07708360486292,0,1
3,0,76,4,3,15.852602962437699,1,1
2,1,9,4,2,58.74877889682325,1,0
1,0,71,1,2,98.60989466296479,1,1
